Recipe Name,Ingredients,Cost to Make,Npc Value,Profit,Type,Table
Maple Wood,,5,5,-2.5,Gathering,Gathering
Massive Fabric,"Loom Shuttle, (50)Spool of Cotton Thread",1000,75,-962.5,Refining,Textiles
Masterwork Blacksmithing Upgrade,"Smithing Hammer, Crafted Equipable, (5)Silver Ingot",75,,-75,Production,Blacksmithing
Masterwork Carpentry Upgrade,"Carpentry Hammer, Crafted Equipable, (5)Silver Ingot",75,,-75,Production,Carpentry
Masterwork Tailoring Upgrade,"Tailoring Scissors, Crafted Equipable, (5)Silver Ingot",75,,-75,Production,Tailoring
Masterwork,"Smithing Hammer, Crafted Equipable, (5)Silver Ingot",75,,-75,Production,Blacksmithing
Masterwork,"Tailoring Scissors, Crafted Equipable, (5)Silver Ingot",75,,-75,Production,Tailoring
Masterwork,"Carpentry Hammer, Crafted Equipable, (5)Silver Ingot",75,,-75,Production,Carpentry
Medium Rough Stone Fence,"Smelting Tongs, (11)Granite Block, (2)Metal Binding",107,25,-94.5,Refining,Smelting
Medium Rough Wooden Fence,"Carpentry Hammer, (6)Pine Wood, (2)Metal Binding",82,0,-82,Production,Carpentry
Medium Rough Wooden Fence,"Carpentry Hammer, (6)Maple Wood, (2)Metal Binding",82,,-82,Production,Carpentry
Medium Tall Rough Stone Fence,"Smelting Tongs, (21)Granite Block, (2)Metal Binding",157,,-157,Refining,Smelting
Metal Binding,"Smithing Hammer, Metal Ingot, Chunk of Coal",26,,-26,Production,Blacksmithing
Metal Core,"Smelting Tongs, Core Mold, (3)Metal Ingot, Chunk of Coal",72,10,-67,Refining,Smelting
Metal Dagger Blade,"Smithing Hammer, Dagger Blade Mold, (2)Metal Ingot, Chunk of Coal",49,,-49,Production,Blacksmithing
Metal Great Axe Blade,"Smithing Hammer, Great Axe Head Mold, (6)Metal Ingot, Chunk of Coal",141,,-141,Production,Blacksmithing
Metal Halberd Blade,"Smithing Hammer, Halberd Blade Mold, (6)Metal Ingot, Chunk of Coal",141,,-141,Production,Blacksmithing
Metal Hand Axe Blade,"Smithing Hammer, Hand Axe Head Mold, (3)Metal Ingot, Chunk of Coal",72,,-72,Production,Blacksmithing
Metal Heavy War Hammer Head,"Smithing Hammer, Heavy War Hammer Head Mold, (6)Metal Ingot, Chunk of Coal",141,,-141,Production,Blacksmithing
Metal Hilt,"Smithing Hammer, (2)Metal Ingot, Chunk of Coal",49,,-49,Production,Blacksmithing
Metal Ingot,"Smelting Tongs, Ingot Mold, (4)Metal Ore, Chunk of Coal",23,1,-22.5,Refining,Smelting
Metal Longsword Blade,,0,,0,Gathering,Gathering
Metal Mace Head,,0,,0,Gathering,Gathering
Metal Ore,,5,5,-2.5,Gathering,Gathering
Metal Scrap,,0,,0,Gathering,Gathering
Metal Sheet,"Smithing Hammer, Sheet Mold, (3)Metal Ingot, Chunk of Coal",72,,-72,Production,Blacksmithing
Metal Shortsword Blade,,0,,0,Gathering,Gathering
Metal Spear Head,,0,,0,Gathering,Gathering
Metal Two-handed Mace Head,,0,,0,Gathering,Gathering
Metal Two-handed Sword Blade,,0,,0,Gathering,Gathering
Metal War Hammer Head,,0,,0,Gathering,Gathering
Meteoric Iron Binding,"Smithing Hammer, Meteoric Iron Ingot, Chunk of Coal",195,25,-182.5,Production,Blacksmithing
Meteoric Iron Core,"Smelting Tongs, Core Mold, (3)Meteoric Iron Ingot, Chunk of Coal",579,1,-578.5,Refining,Smelting
Meteoric Iron Dagger Blade,"Smithing Hammer, Dagger Blade Mold, (2)Meteoric Iron Ingot, Chunk of Coal",387,20,-377,Production,Blacksmithing
Meteoric Iron Great Axe Blade,"Smithing Hammer, Great Axe Head Mold, (6)Meteoric Iron Ingot, Chunk of Coal",1155,30,-1140,Production,Blacksmithing
Meteoric Iron Halberd Blade,"Smithing Hammer, Halberd Blade Mold, (6)Meteoric Iron Ingot, Chunk of Coal",1155,30,-1140,Production,Blacksmithing
Meteoric Iron Hand Axe Blade,"Smithing Hammer, Hand Axe Head Mold, (3)Meteoric Iron Ingot, Chunk of Coal",579,30,-564,Production,Blacksmithing
Meteoric Iron Heavy War Hammer Head,"Smithing Hammer, Heavy War Hammer Head Mold, (6)Meteoric Iron Ingot, Chunk of Coal",1155,10,-1150,Production,Blacksmithing
Meteoric Iron Hilt,"Smithing Hammer, Chunk of Coal, (2)Meteoric Iron Ingot",387,10,-382,Production,Blacksmithing
Meteoric Iron Ingot,"Smelting Tongs, Ingot Mold, (2)Iron Ingot, Nickel, Tungsten, (2)Chunk of Coal",192,100,-142,Refining,Smelting
Meteoric Iron Longsword Blade,"Smithing Hammer, Longsword Blade Mold, (3)Meteoric Iron Ingot, Chunk of Coal",579,370,-394,Production,Blacksmithing
Meteoric Iron Mace Head,"Smithing Hammer, Mace Head Mold, (3)Meteoric Iron Ingot, Chunk of Coal",579,30,-564,Production,Blacksmithing
Meteoric Iron Sheet,"Smithing Hammer, Sheet Mold, (3)Meteoric Iron Ingot, Chunk of Coal",579,190,-484,Production,Blacksmithing
Meteoric Iron Shortsword Blade,"Smithing Hammer, Shortsword Blade Mold, (3)Meteoric Iron Ingot, Chunk of Coal",579,30,-564,Production,Blacksmithing
Meteoric Iron Shortsword with Bronze Hilt,"Smithing Hammer, Meteoric Iron Shortsword Blade, Bronze Hilt, Chunk of Coal",849,110,-794,Production,Blacksmithing
Meteoric Iron Shortsword with Constantan Hilt,"Smithing Hammer, Meteoric Iron Shortsword Blade, Constantan Hilt, Chunk of Coal",849,110,-794,Production,Blacksmithing
Meteoric Iron Shortsword with Copper Hilt,"Smithing Hammer, Meteoric Iron Shortsword Blade, Copper Hilt, Chunk of Coal",631,110,-576,Production,Blacksmithing
Meteoric Iron Shortsword with Iron Hilt,"Smithing Hammer, Meteoric Iron Shortsword Blade, Iron Hilt, Chunk of Coal",631,110,-576,Production,Blacksmithing
Meteoric Iron Shortsword with Meteoric Iron Hilt,"Smithing Hammer, Meteoric Iron Shortsword Blade, Meteoric Iron Hilt, Chunk of Coal",969,110,-914,Production,Blacksmithing
Meteoric Iron Shortsword with White Iron Hilt,"Smithing Hammer, Meteoric Iron Shortsword Blade, White Iron Hilt, Chunk of Coal",969,110,-914,Production,Blacksmithing
Meteoric Iron Spear Head,"Smithing Hammer, Spear Head Mold, (3)Meteoric Iron Ingot, Chunk of Coal",579,70,-544,Production,Blacksmithing
Meteoric Iron Two-handed Mace Head,"Smithing Hammer, Two-handed Mace Head Mold, (6)Meteoric Iron Ingot, Chunk of Coal",1155,30,-1140,Production,Blacksmithing
Meteoric Iron Two-handed Sword Blade,"Smithing Hammer, Two-handed Sword Blade Mold, (5)Meteoric Iron Ingot, Chunk of Coal",963,50,-938,Production,Blacksmithing
Meteoric Iron War Hammer Head,"Smithing Hammer, War Hammer Head Mold, (2)Meteoric Iron Ingot, Chunk of Coal",387,30,-372,Production,Blacksmithing
Mortar and Pestle,,0,,0,Tool,Tool
Mounted Antlers,"Carpentry Hammer, Wooden Boards, Stag Head",8,50,17,Production,Carpentry
Mounted Bass,"Carpentry Hammer, Wooden Boards, Bass Trophy",12,50,13,Production,Carpentry
Mounted Salmon,"Carpentry Hammer, Wooden Boards, Salmon Trophy",12,50,13,Production,Carpentry
Mounted Trout,"Carpentry Hammer, Wooden Boards, Trout Trophy",12,50,13,Production,Carpentry
Mug,"Carpentry Hammer, Wooden Bindings",8,1,-7.5,Production,Carpentry
Mustard Seeds,,13,13,-6.5,Gathering,Gathering
Mutton Meat,"Cleaver, Sheep Carcass",3,5,-0.5,Refining,Butchery
Necklace,"Smithing Hammer, (5)Metal Binding, Chunk of Coal",133,,-133,Production,Blacksmithing
Necromancy Gem,"Mortar and Pestle, Onyx, (10)Mandrake Root",440,100,-390,Production,Alchemy
Necromancy Jewel,"Mortar and Pestle, Onyx, (5)Mandrake Root",430,100,-380,Production,Alchemy
Nickel,,40,40,-20,Gathering,Gathering
Nightshade,,2,2,-1,Gathering,Gathering
Nut Butter,,8,8,-4,Gathering,Gathering
Obsidian Axe Blade,"Smithing Hammer, Hand Axe Head Mold, (3)Obsidian Ingot, (10)Chunk of Coal",30,,-30,Production,Blacksmithing
Obsidian Ingot,,0,,0,Gathering,Gathering
Obsidian Plate Chest Armor/Obsidian Plate Chest Armor with Meteoric Iron Binding,"Smithing Hammer, (8)Obsidian Sheet, (5)Meteoric Iron Binding, (10)Chunk of Coal",1005,190,-910,Production,Blacksmithing
Obsidian Plate Leggings/Obsidian Plate Leggings with Meteoric Iron Binding,"Smithing Hammer, (4)Obsidian Sheet, (4)Meteoric Iron Binding, (10)Chunk of Coal",810,135,-742.5,Production,Blacksmithing
Obsidian Sheet,,0,,0,Gathering,Gathering
Onion,,4,4,-2,Gathering,Gathering
Onyx Fragment,,1,1,-0.5,Gathering,Gathering
Onyx,"Mortar and Pestle, (400)Onyx Fragment, (10)Mandrake Root",420,200,-320,Production,Alchemy
Orange Dye,"Tanning Knife, (5)Pumpkin, (2)Chunk of Coal",11,,-11,Refining,Tanning
Pecan Nuts,,2,2,-1,Gathering,Gathering
Pepper,,5,5,-2.5,Gathering,Gathering
Phonograph,"Carpentry Hammer, (7)Maple Board, (8)Lute String, (2)Wax, (4)Metal Binding",515,0,-515,Production,Carpentry
Phonograph,"Carpentry Hammer, (7)Pine Board, (8)Lute String, (2)Wax, (4)Metal Binding",515,,-515,Production,Carpentry
Piano,"Carpentry Hammer, (88)Coil of Metal Wire, (48)Wooden Boards, (8)Iron Binding, (5)Wax",4674,20,-4664,Production,Carpentry
Pie Dough,"Cooking Pot, Sack of Flour, Sack of Salt, Sack of Sugar, Butter",25,10,-20,Production,Cooking
Piece of Canvas Fabric,"Loom Shuttle, Wooden Bark, (3)Spool of Cotton Thread",60,,-60,Refining,Textiles
Pig Carcass,,3,3,-1.5,Gathering,Gathering
Pillow,"Tailoring Scissors, (2)Bolt of Cotton Cloth, (2)Bundle of Feathers",88,25,-75.5,Production,Tailoring
Pine Binding,"Carpentry Hammer, Cubit Measure, (2)Pine Timber, Wax",66,5,-63.5,Production,Carpentry
Pine Board,"Cubit Measure, Pine Timber, Creosote",33,,-33,Refining,Milling
Pine Handle,"Carpentry Hammer, Pine Timber, Wax",34,90,11,Production,Carpentry
Pine Heartwood,"Wood Rasp, (4)Pine Timber, Wax",130,30,-115,Production,Carpentry
Pine Long Bow with Carapacian Bow String,"Carpentry Hammer, Pine Long Bowstave, (2)Carapacian Bow String, (5)Wax",1616,200,-1516,Production,Carpentry
Pine Long Bow with Fustian Bow String,"Carpentry Hammer, Pine Long Bowstave, (2)Fustian Bow String, (5)Wax",1616,200,-1516,Production,Carpentry
Pine Long Bow with Hardened Leather Bow String,"Carpentry Hammer, Pine Long Bowstave, (2)Hardened Leather Bow String, (5)Wax",1536,200,-1436,Production,Carpentry
Pine Long Bow with Leather Bow String,"Carpentry Hammer, Pine Long Bowstave, (2)Leather Bow String, (5)Wax",516,200,-416,Production,Carpentry
Pine Long Bow with Supple Leather Bow String,"Carpentry Hammer, Pine Long Bowstave, (2)Supple Leather Bow String, Wax",1528,200,-1428,Production,Carpentry
Pine Long Bowstave,"Carpentry Hammer, Wood Rasp, (10)Pine Timber, Wax",322,175,-234.5,Production,Carpentry
Pine Pole,"Cubit Measure, (2)Pine Timber, (4)Wax",72,20,-62,Refining,Milling
Pine Resin,,40,40,-20,Gathering,Gathering
Pine Short Bow with Carapacian Bow String,"Carpentry Hammer, Pine Short Bowstave, Carapacian Bow String, (5)Wax",750,150,-675,Production,Carpentry
Pine Short Bow with Cotton Bow String,"Carpentry Hammer, Pine Short Bowstave, Cotton Bow String, (5)Wax",210,150,-135,Production,Carpentry
Pine Short Bow with Fustian Bow String,"Carpentry Hammer, Pine Short Bowstave, Fustian Bow String, (5)Wax",750,150,-675,Production,Carpentry
Pine Short Bow with Hardened Leather Bow String,"Carpentry Hammer, Pine Short Bowstave, Hardened Leather Bow String, (5)Wax",710,150,-635,Production,Carpentry
Pine Short Bow with Leather Bow String,"Carpentry Hammer, Pine Short Bowstave, Leather Bow String, (5)Wax",200,150,-125,Production,Carpentry
Pine Short Bow with Supple Leather Bow String,"Carpentry Hammer, Pine Short Bowstave, Supple Leather Bow String, (5)Wax",710,150,-635,Production,Carpentry
Pine Short Bowstave,"Carpentry Hammer, Wood Rasp, (3)Pine Timber, Wax",98,,-98,Production,Carpentry
Pine Staff with Cotton Strap,"Carpentry Hammer, (2)Pine Heartwood, (2)Cotton Cloth Strap, (5)Wax",314,20,-304,Production,Carpentry
Pine Staff with Leather Strap,"Carpentry Hammer, (2)Pine Heartwood, (2)Leather Straps, (5)Wax",310,20,-300,Production,Carpentry
Pine Strip,"Cubit Measure, (4)Pine Timber, Wax",130,24,-118,Refining,Milling
Pine Tar,,2,,-2,Gathering,Gathering
Pine Timber,"Cubit Measure, (3)Pine Wood, Creosote, (8)Wood Scrap",16,,-16,Refining,Milling
Pine Timber,"Cubit Measure, (6)Pine Wood, (2)Creosote",32,10,-27,Refining,Milling
Pine Tree Bark,"Cubit Measure, (6)Pine Wood, (2)Creosote",32,1,-31.5,Refining,Milling
Pine Wand with Bronze Core,"Carpentry Hammer, Pine Heartwood, Bronze Core, Wax",531,1,-530.5,Production,Carpentry
Pine Wand with Constantan Core,"Carpentry Hammer, Pine Heartwood, Constantan Core, Wax",531,1,-530.5,Production,Carpentry
Pine Wand with Copper Core,"Carpentry Hammer, Pine Heartwood, Copper Core, Wax",204,1,-203.5,Production,Carpentry
Pine Wand with Iron Core,"Carpentry Hammer, Pine Heartwood, Iron Core, Wax",204,1,-203.5,Production,Carpentry
Pine Wand with Meteoric Iron Core,"Carpentry Hammer, Pine Heartwood, Meteoric Iron Core, Wax",711,1,-710.5,Production,Carpentry
Pine Wand with White Iron Core,"Carpentry Hammer, Pine Heartwood, White Iron Core, Wax",711,1,-710.5,Production,Carpentry
Pine Wood Staff,"Wood Rasp, (4)Pine Timber, Wax",130,,-130,Refining,Milling
Pine Wood,,5,5,-2.5,Gathering,Gathering
Pink Dye,"Tanning Knife, (20)Tomato, (2)Chunk of Coal",46,,-46,Refining,Tanning
Plain Wood Hospitaller Ground Sign,"Carpentry Hammer, (10)Wooden Boards, Hospitaller Symbol, (2)Creosote",32,,-32,Production,Carpentry
Plain Wood Hospitaller Hanging Sign,"Carpentry Hammer, (10)Wooden Boards, Hospitaller Symbol, (2)Creosote",32,,-32,Production,Carpentry
Plain Wood Hospitaller Wall Sign,"Carpentry Hammer, (10)Wooden Boards, Hospitaller Symbol, (2)Creosote",32,,-32,Production,Carpentry
Plank of Salmon,"Cooking Pot, (2)Salmon Fillet, Pepper, Garlic, Mustard Seeds, Sack of Sugar, Maple Board",65,25,-52.5,Production,Cooking
Plant,,2,10,3,Gathering,Gathering
Plate Boots,"Smithing Hammer, Hot Chisel, (2)Metal Sheet, Strap, Chunk of Coal",152,80,-112,Production,Blacksmithing
Plate Chest Armor of Defense/Iron Plate Chest Armor with Cotton Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Cotton Cloth Strap, (2)Copper Binding, (2)Chunk of Coal",556,300,-406,Production,Blacksmithing
Plate Chest Armor of Defense/Iron Plate Chest Armor with Cotton Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Cotton Cloth Strap, (2)Iron Binding, (2)Chunk of Coal",556,300,-406,Production,Blacksmithing
Plate Chest Armor of Defense/Iron Plate Chest Armor with Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Leather Straps, (2)Copper Binding, (2)Chunk of Coal",550,300,-400,Production,Blacksmithing
Plate Chest Armor of Defense/Iron Plate Chest Armor with Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Leather Straps, (2)Iron Binding, (2)Chunk of Coal",550,300,-400,Production,Blacksmithing
Plate Chest Armor of Dodge/Copper Plate Chest Armor with Cotton Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Cotton Cloth Strap, (2)Copper Binding, (2)Chunk of Coal",556,300,-406,Production,Blacksmithing
Plate Chest Armor of Dodge/Copper Plate Chest Armor with Cotton Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Cotton Cloth Strap, (2)Iron Binding, (2)Chunk of Coal",556,300,-406,Production,Blacksmithing
Plate Chest Armor of Dodge/Copper Plate Chest Armor with Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Leather Straps, (2)Copper Binding, (2)Chunk of Coal",550,300,-400,Production,Blacksmithing
Plate Chest Armor of Dodge/Copper Plate Chest Armor with Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Leather Straps, (2)Iron Binding, (2)Chunk of Coal",550,300,-400,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Copper Plate Chest Armor with Cotton Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Cotton Cloth Strap, (2)Meteoric Iron Binding, (2)Chunk of Coal",894,300,-744,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Copper Plate Chest Armor with Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",888,300,-738,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Copper Plate Chest Armor with Supple Leather Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Supple Leather Straps, (2)Bronze Binding, (2)Chunk of Coal",1074,300,-924,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Copper Plate Chest Armor with Supple Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Supple Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",1074,300,-924,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Copper Plate Chest Armor with Supple Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Supple Leather Straps, (2)Copper Binding, (2)Chunk of Coal",856,300,-706,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Copper Plate Chest Armor with Supple Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Supple Leather Straps, (2)Iron Binding, (2)Chunk of Coal",856,300,-706,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Copper Plate Chest Armor with Supple Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Supple Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",1194,300,-1044,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Copper Plate Chest Armor with Supple Leather Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Supple Leather Straps, (2)White Iron Binding, (2)Chunk of Coal",1194,300,-1044,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Iron Plate Chest Armor with Cotton Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Cotton Cloth Strap, (2)Meteoric Iron Binding, (2)Chunk of Coal",894,300,-744,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Iron Plate Chest Armor with Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",888,300,-738,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Iron Plate Chest Armor with Supple Leather Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Supple Leather Straps, (2)Bronze Binding, (2)Chunk of Coal",1074,300,-924,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Iron Plate Chest Armor with Supple Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Supple Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",1074,300,-924,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Iron Plate Chest Armor with Supple Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Supple Leather Straps, (2)Copper Binding, (2)Chunk of Coal",856,300,-706,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Iron Plate Chest Armor with Supple Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Supple Leather Straps, (2)Iron Binding, (2)Chunk of Coal",856,300,-706,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Iron Plate Chest Armor with Supple Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Supple Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",1194,300,-1044,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Iron Plate Chest Armor with Supple Leather Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Supple Leather Straps, (2)White Iron Binding, (2)Chunk of Coal",1194,300,-1044,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Carapacian Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Carapacian Cloth Straps, (2)Bronze Binding, (2)Chunk of Coal",4140,300,-3990,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Carapacian Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Carapacian Cloth Straps, (2)Constantan Binding, (2)Chunk of Coal",4140,300,-3990,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Carapacian Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Carapacian Cloth Straps, (2)Copper Binding, (2)Chunk of Coal",3922,300,-3772,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Carapacian Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Carapacian Cloth Straps, (2)Iron Binding, (2)Chunk of Coal",3922,300,-3772,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Carapacian Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Carapacian Cloth Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",4260,300,-4110,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Carapacian Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Carapacian Cloth Straps, (2)White Iron Binding, (2)Chunk of Coal",4260,300,-4110,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Cotton Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Cotton Cloth Strap, (2)Bronze Binding, (2)Chunk of Coal",3816,300,-3666,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Cotton Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Cotton Cloth Strap, (2)Constantan Binding, (2)Chunk of Coal",3816,300,-3666,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Cotton Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Cotton Cloth Strap, (2)Copper Binding, (2)Chunk of Coal",3598,300,-3448,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Cotton Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Cotton Cloth Strap, (2)Iron Binding, (2)Chunk of Coal",3598,300,-3448,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Cotton Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Cotton Cloth Strap, (2)Meteoric Iron Binding, (2)Chunk of Coal",3936,300,-3786,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Cotton Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Cotton Cloth Strap, (2)White Iron Binding, (2)Chunk of Coal",3936,300,-3786,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Fustian Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Fustian Cloth Straps, (2)Bronze Binding, (2)Chunk of Coal",4140,300,-3990,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Fustian Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Fustian Cloth Straps, (2)Constantan Binding, (2)Chunk of Coal",4140,300,-3990,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Fustian Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Fustian Cloth Straps, (2)Copper Binding, (2)Chunk of Coal",3922,300,-3772,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Fustian Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Fustian Cloth Straps, (2)Iron Binding, (2)Chunk of Coal",3922,300,-3772,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Fustian Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Fustian Cloth Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",4260,300,-4110,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Fustian Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Fustian Cloth Straps, (2)White Iron Binding, (2)Chunk of Coal",4260,300,-4110,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Hardened Leather Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Hardened Leather Straps, (2)Bronze Binding, (2)Chunk of Coal",4116,300,-3966,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Hardened Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Hardened Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",4116,300,-3966,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Hardened Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Hardened Leather Straps, (2)Copper Binding, (2)Chunk of Coal",3898,300,-3748,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Hardened Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Hardened Leather Straps, (2)Iron Binding, (2)Chunk of Coal",3898,300,-3748,Production,Blacksmithing
Plate Chest Armor of Greater Defense/Meteoric Iron Plate Chest Armor with Hardened Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Meteoric Iron Sheet, (3)Hardened Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",4236,300,-4086,Production,Blacksmithing
